score,steps,e_time
8440.0,126,0.45699405670166016
7549.0,122,0.3431699275970459
5515.0,110,0.37093400955200195
2718.0,75,0.27360987663269043
4235.0,92,0.2907869815826416
4055.0,106,0.33353614807128906
7138.0,97,0.2734861373901367
7953.0,137,0.4070780277252197
6945.0,109,0.34549593925476074
1363.0,53,0.19742107391357422
7904.0,98,0.4473409652709961
8440.0,126,0.3487110137939453
8440.0,126,0.3403749465942383
7658.0,120,0.3823730945587158
5567.0,105,0.31403207778930664
7658.0,120,0.32843995094299316
5515.0,110,0.29624319076538086
8440.0,126,0.3415858745574951
9044.0,140,0.40120506286621094
8440.0,126,0.3505897521972656
8440.0,126,0.3450889587402344
9459.0,114,0.3578369617462158
9459.0,114,0.31492090225219727
3796.0,91,0.2833409309387207
2485.0,68,0.2093818187713623
4235.0,92,0.2543151378631592
9459.0,114,0.30531883239746094
5515.0,110,0.29531288146972656
5567.0,105,0.2876448631286621
7904.0,98,0.27103281021118164
7549.0,122,0.32333970069885254
5567.0,105,0.2807738780975342
5115.0,90,0.297011137008667
7676.0,114,0.3220818042755127
7023.0,110,0.3552398681640625
8440.0,126,0.3418617248535156
8440.0,126,0.344775915145874
2922.0,98,0.37709999084472656
6945.0,109,0.3004419803619385
8440.0,126,0.3631761074066162
8440.0,126,0.34298086166381836
7549.0,122,0.34888625144958496
7139.0,120,0.33463621139526367
3783.0,78,0.2444920539855957
3783.0,78,0.2175290584564209
2718.0,75,0.20801305770874023
3844.0,94,0.32865381240844727
3796.0,91,0.2537219524383545
8440.0,126,0.3410000801086426
7953.0,137,0.38643789291381836
8440.0,126,0.33762383460998535
8440.0,126,0.3350200653076172
8440.0,126,0.33444905281066895
8440.0,126,0.3428201675415039
8440.0,126,0.3377063274383545
8440.0,126,0.33469271659851074
8440.0,126,0.34089016914367676
7953.0,137,0.36928892135620117
2718.0,75,0.20754194259643555
8440.0,126,0.3417990207672119
6471.0,115,0.3275420665740967
7860.0,139,0.41333913803100586
8440.0,126,0.338939905166626
5515.0,110,0.2903270721435547
7904.0,98,0.26214599609375
8440.0,126,0.3410038948059082
7953.0,137,0.3719367980957031
8440.0,126,0.3390312194824219
8095.0,115,0.3259541988372803
8440.0,126,0.3390381336212158
3954.0,103,0.3094289302825928
8440.0,126,0.3399360179901123
2889.0,72,0.22287416458129883
3796.0,91,0.24921083450317383
8440.0,126,0.33692073822021484
8440.0,126,0.34386181831359863
8440.0,126,0.3375732898712158
8440.0,126,0.3331320285797119
6945.0,109,0.29050183296203613
8440.0,126,0.3372459411621094
8440.0,126,0.34000396728515625
3796.0,91,0.2442009449005127
8440.0,126,0.33638501167297363
8440.0,126,0.34981608390808105
8440.0,126,0.34327101707458496
4345.0,103,0.3042633533477783
4235.0,92,0.25481081008911133
5515.0,110,0.2920053005218506
8440.0,126,0.33589792251586914
7023.0,110,0.2946908473968506
8440.0,126,0.3325037956237793
8440.0,126,0.335355281829834
6515.0,120,0.3366858959197998
7953.0,137,0.37503814697265625
8440.0,126,0.3424098491668701
8440.0,126,0.33489203453063965
5515.0,110,0.29671692848205566
7239.0,120,0.33632588386535645
8440.0,126,0.34378504753112793
8029.0,114,0.3119161128997803
6945.0,109,0.2982521057128906
7929.0,110,0.3006899356842041
8440.0,126,0.3409552574157715
8440.0,126,0.3513951301574707
3796.0,91,0.24821186065673828
8440.0,126,0.33423328399658203
8005.0,114,0.3547179698944092
6945.0,109,0.29637622833251953
8440.0,126,0.34241604804992676
8440.0,126,0.3351149559020996
7953.0,137,0.3621199131011963
8440.0,126,0.33965325355529785
3796.0,91,0.2592148780822754
8029.0,114,0.309128999710083
7138.0,97,0.26223206520080566
6945.0,109,0.30336809158325195
8005.0,114,0.3198280334472656
7549.0,122,0.32859277725219727
6540.0,97,0.27126383781433105
8440.0,126,0.34093785285949707
5567.0,105,0.2801351547241211
7023.0,110,0.29694533348083496
7676.0,118,0.3497352600097656
8440.0,126,0.351503849029541
8440.0,126,0.3404359817504883
9044.0,140,0.3690469264984131
8440.0,126,0.3335087299346924
7023.0,110,0.2929370403289795
7023.0,110,0.2935800552368164
4235.0,92,0.24765396118164062
8440.0,126,0.3374037742614746
8440.0,126,0.34220409393310547
8440.0,126,0.35747194290161133
5614.0,120,0.3460259437561035
7549.0,122,0.33086419105529785
8440.0,126,0.33650898933410645
8440.0,126,0.33626580238342285
7658.0,120,0.31940197944641113
6176.0,95,0.30998992919921875
2545.0,76,0.2633500099182129
8440.0,126,0.3489701747894287
7140.0,183,0.5865271091461182
9044.0,140,0.38329386711120605
8440.0,126,0.3342592716217041
4361.0,102,0.3472747802734375
8440.0,126,0.36701202392578125
9044.0,140,0.42122793197631836
9044.0,140,0.37455296516418457
2718.0,75,0.20709705352783203
4603.0,95,0.2827579975128174
4235.0,92,0.2542848587036133
5567.0,105,0.2768218517303467
8440.0,126,0.33294105529785156
10923.0,213,0.7316069602966309
8440.0,126,0.33969998359680176
7904.0,98,0.26318788528442383
8440.0,126,0.3340871334075928
8440.0,126,0.34464478492736816
3738.0,72,0.20451617240905762
8440.0,126,0.3395049571990967
8440.0,126,0.3331272602081299
3824.0,76,0.22473502159118652
8029.0,114,0.30860471725463867
7023.0,110,0.2961690425872803
7138.0,97,0.26993298530578613
8241.0,126,0.36214780807495117
4235.0,92,0.25585412979125977
6945.0,109,0.30025219917297363
2982.0,84,0.27176690101623535
4704.0,77,0.25251126289367676
1728.0,68,0.2124791145324707
7904.0,98,0.2696678638458252
3333.0,86,0.27512288093566895
1968.0,52,0.18496298789978027
6176.0,95,0.26660704612731934
4235.0,92,0.2571096420288086
2191.0,90,0.28928208351135254
8440.0,126,0.3436088562011719
8440.0,126,0.3470768928527832
5515.0,110,0.30930113792419434
5869.0,89,0.2517240047454834
8440.0,126,0.3414750099182129
8440.0,126,0.338176965713501
6294.0,116,0.3863861560821533
8029.0,114,0.3085448741912842
4967.0,105,0.29668092727661133
8440.0,126,0.34117674827575684
8440.0,126,0.34005093574523926
8440.0,126,0.359591007232666
7904.0,98,0.2707099914550781
3114.0,68,0.19971919059753418
9459.0,114,0.30867981910705566
4545.0,84,0.24358105659484863
3796.0,91,0.2502269744873047
4235.0,92,0.24821901321411133
8440.0,126,0.3377349376678467
7023.0,110,0.30866003036499023
4923.0,101,0.29593706130981445
7658.0,120,0.33326292037963867
8440.0,126,0.3368861675262451
8549.0,126,0.36949920654296875
8440.0,126,0.3425929546356201
5567.0,105,0.2830982208251953
8440.0,126,0.3386719226837158
8440.0,126,0.33861398696899414
6945.0,109,0.29192399978637695
7138.0,97,0.26305103302001953
3783.0,78,0.21367311477661133
6176.0,95,0.2622509002685547
7549.0,122,0.34020400047302246
8440.0,126,0.333446741104126
8440.0,126,0.33464694023132324
8440.0,126,0.33942198753356934
7397.0,120,0.372265100479126
3530.0,106,0.2986130714416504
7549.0,122,0.3300290107727051
8440.0,126,0.33193492889404297
3796.0,91,0.25361108779907227
8440.0,126,0.33640384674072266
5505.0,109,0.35303378105163574
5515.0,110,0.29947996139526367
8440.0,126,0.3365912437438965
7868.0,120,0.34192991256713867
8440.0,126,0.3416919708251953
6245.0,125,0.3701009750366211
6945.0,109,0.2963681221008301
8440.0,126,0.3424191474914551
5515.0,110,0.29146790504455566
5567.0,105,0.2776918411254883
4027.0,77,0.2661900520324707
9928.0,177,0.5945868492126465
8440.0,126,0.3492891788482666
8440.0,126,0.3533439636230469
8440.0,126,0.33583736419677734
7023.0,110,0.3033273220062256
9459.0,114,0.3102090358734131
8440.0,126,0.3338048458099365
8440.0,126,0.34079408645629883
8440.0,126,0.34091806411743164
6176.0,95,0.2524850368499756
