score,steps,e_time
1218.0,63,0.19618701934814453
8561.0,135,0.3973093032836914
8561.0,135,0.3641998767852783
8561.0,135,0.3599059581756592
8561.0,135,0.3550269603729248
8561.0,135,0.35452818870544434
8561.0,135,0.35994601249694824
8561.0,135,0.35483503341674805
8561.0,135,0.3542499542236328
8561.0,135,0.3547191619873047
8561.0,135,0.3578159809112549
7890.0,115,0.3532402515411377
8561.0,135,0.36856675148010254
8561.0,135,0.36202478408813477
8561.0,135,0.3549962043762207
8561.0,135,0.35445404052734375
8561.0,135,0.3544809818267822
8561.0,135,0.35950183868408203
8561.0,135,0.3559689521789551
8561.0,135,0.3626079559326172
8561.0,135,0.35716915130615234
8561.0,135,0.3556690216064453
8561.0,135,0.35445499420166016
12734.0,151,0.42762303352355957
8561.0,135,0.35730600357055664
8561.0,135,0.3549778461456299
8561.0,135,0.3542332649230957
1218.0,63,0.16892290115356445
8561.0,135,0.3690989017486572
2542.0,81,0.24118804931640625
8561.0,135,0.3560471534729004
8561.0,135,0.3544490337371826
8561.0,135,0.3545982837677002
8561.0,135,0.36455678939819336
7890.0,115,0.30776405334472656
8561.0,135,0.3624849319458008
12335.0,154,0.42214083671569824
8561.0,135,0.36150383949279785
8561.0,135,0.3553321361541748
8561.0,135,0.35450196266174316
8561.0,135,0.35607385635375977
8561.0,135,0.355010986328125
8561.0,135,0.3544802665710449
2542.0,81,0.21789002418518066
8561.0,135,0.35465312004089355
1218.0,63,0.1683671474456787
8561.0,135,0.365297794342041
8561.0,135,0.35732197761535645
8561.0,135,0.36204028129577637
8561.0,135,0.3667120933532715
8561.0,135,0.3554658889770508
2542.0,81,0.21654486656188965
8561.0,135,0.35783910751342773
8561.0,135,0.3559532165527344
8561.0,135,0.357806921005249
19565.0,223,0.6196169853210449
8561.0,135,0.35555410385131836
2542.0,81,0.21581006050109863
8561.0,135,0.35523200035095215
8561.0,135,0.35613107681274414
8561.0,135,0.35555315017700195
8561.0,135,0.35587310791015625
8561.0,135,0.35602617263793945
8561.0,135,0.3706948757171631
8561.0,135,0.35555505752563477
8561.0,135,0.360659122467041
8561.0,135,0.3555331230163574
8561.0,135,0.3545968532562256
8561.0,135,0.3543109893798828
8561.0,135,0.36150217056274414
8561.0,135,0.3553199768066406
8561.0,135,0.36472010612487793
8561.0,135,0.3565969467163086
1218.0,63,0.1703190803527832
8561.0,135,0.3542747497558594
2542.0,81,0.2162189483642578
8561.0,135,0.3552420139312744
2542.0,81,0.21655893325805664
8561.0,135,0.35425305366516113
8561.0,135,0.35660505294799805
8561.0,135,0.35649585723876953
7890.0,115,0.31234002113342285
8561.0,135,0.36380910873413086
3082.0,82,0.2425849437713623
8561.0,135,0.3557250499725342
7890.0,115,0.30271482467651367
8561.0,135,0.3554661273956299
8561.0,135,0.35535216331481934
8561.0,135,0.3563227653503418
8561.0,135,0.35544395446777344
8561.0,135,0.3652667999267578
8561.0,135,0.35585498809814453
8561.0,135,0.3556950092315674
8561.0,135,0.35796618461608887
8561.0,135,0.3567807674407959
8561.0,135,0.354964017868042
8561.0,135,0.35540103912353516
8561.0,135,0.35787510871887207
8561.0,135,0.3643519878387451
8561.0,135,0.3581249713897705
8561.0,135,0.3549778461456299
8561.0,135,0.3555629253387451
8561.0,135,0.3544468879699707
8561.0,135,0.3542182445526123
8561.0,135,0.3546478748321533
2542.0,81,0.21822786331176758
8561.0,135,0.35477495193481445
8561.0,135,0.36500096321105957
8561.0,135,0.35527610778808594
736.0,51,0.15552711486816406
8561.0,135,0.35468101501464844
8561.0,135,0.35506105422973633
8561.0,135,0.35919189453125
1218.0,63,0.16859769821166992
8561.0,135,0.3611948490142822
2542.0,81,0.21647000312805176
8561.0,135,0.35531091690063477
8561.0,135,0.3643770217895508
2542.0,81,0.21668696403503418
8561.0,135,0.3581728935241699
8561.0,135,0.3548851013183594
8561.0,135,0.3565971851348877
8561.0,135,0.35590195655822754
8561.0,135,0.3556180000305176
8561.0,135,0.36096620559692383
