score,steps,e_time
1336.0,41,0.13431096076965332
4726.0,61,0.1859290599822998
2410.0,55,0.17023420333862305
2147.0,68,0.2098088264465332
6643.0,83,0.25387001037597656
6643.0,83,0.2260730266571045
2405.0,42,0.12372708320617676
2410.0,55,0.15079593658447266
2572.0,57,0.17031121253967285
4032.0,76,0.21807098388671875
2410.0,55,0.15029406547546387
1336.0,41,0.11343502998352051
1316.0,84,0.25477123260498047
2410.0,55,0.1503138542175293
2410.0,55,0.15152478218078613
1586.0,68,0.19892144203186035
2410.0,55,0.15061569213867188
2410.0,55,0.15193510055541992
3787.0,66,0.1962580680847168
2410.0,55,0.1510298252105713
2410.0,55,0.1517040729522705
1892.0,62,0.18658208847045898
1316.0,84,0.23004984855651855
1892.0,62,0.17075896263122559
4739.0,142,0.431013822555542
1905.0,56,0.1653587818145752
2410.0,55,0.1508328914642334
2410.0,55,0.15221095085144043
3787.0,66,0.18059182167053223
2410.0,55,0.15134787559509277
2410.0,55,0.15068483352661133
2410.0,55,0.14997601509094238
2410.0,55,0.15088295936584473
2410.0,55,0.15021610260009766
2410.0,55,0.15048909187316895
2410.0,55,0.15121698379516602
2410.0,55,0.15908360481262207
4726.0,61,0.18481802940368652
1336.0,41,0.12423396110534668
3320.0,60,0.1788017749786377
3641.0,60,0.17571496963500977
2410.0,55,0.1563100814819336
1586.0,68,0.19140195846557617
2410.0,55,0.15274500846862793
2410.0,55,0.15079307556152344
3147.0,52,0.16054606437683105
2410.0,55,0.15070796012878418
2410.0,55,0.15017390251159668
1316.0,84,0.22780895233154297
2410.0,55,0.15079307556152344
4088.0,90,0.2749969959259033
2410.0,55,0.15045404434204102
2410.0,55,0.15034222602844238
2410.0,55,0.15116596221923828
2410.0,55,0.15099382400512695
6643.0,83,0.23262906074523926
2410.0,55,0.1538560390472412
2410.0,55,0.15180325508117676
4251.0,85,0.2614152431488037
2445.0,56,0.17385482788085938
2410.0,55,0.15936017036437988
2410.0,55,0.1535661220550537
2410.0,55,0.1545400619506836
2405.0,42,0.11682987213134766
3320.0,60,0.17200207710266113
2410.0,55,0.1535320281982422
2410.0,55,0.1503138542175293
1905.0,56,0.16780781745910645
2410.0,55,0.16126394271850586
2506.0,62,0.19034814834594727
2410.0,55,0.15128707885742188
1336.0,41,0.11799097061157227
1336.0,41,0.11394000053405762
1336.0,41,0.1167900562286377
1221.0,66,0.21080493927001953
2410.0,55,0.15320873260498047
2515.0,56,0.15787601470947266
3147.0,52,0.14726996421813965
1336.0,41,0.11541104316711426
2405.0,42,0.11621975898742676
2410.0,55,0.15010619163513184
1892.0,62,0.1699540615081787
2410.0,55,0.1552720069885254
1905.0,56,0.15452218055725098
2410.0,55,0.15023493766784668
2410.0,55,0.15184593200683594
6753.0,81,0.2391648292541504
2506.0,62,0.17477035522460938
1905.0,56,0.15555906295776367
1905.0,56,0.15627479553222656
2445.0,56,0.16119599342346191
2410.0,55,0.15091705322265625
2860.0,43,0.13207507133483887
2410.0,55,0.1871020793914795
2506.0,62,0.1737663745880127
2445.0,56,0.1644268035888672
4739.0,142,0.3829970359802246
2572.0,57,0.15687203407287598
2445.0,56,0.16159629821777344
3205.0,43,0.12642288208007812
1636.0,64,0.18807482719421387
2410.0,55,0.1516432762145996
2410.0,55,0.15109705924987793
2410.0,55,0.15406584739685059
2410.0,55,0.16007089614868164
4739.0,142,0.39997315406799316
2410.0,55,0.15256094932556152
2410.0,55,0.15313100814819336
2815.0,60,0.17309904098510742
3205.0,43,0.12443995475769043
2410.0,55,0.15417981147766113
1892.0,62,0.17106890678405762
2410.0,55,0.15007781982421875
2410.0,55,0.15046191215515137
6744.0,89,0.2458338737487793
2410.0,55,0.1501939296722412
2410.0,55,0.15010619163513184
2410.0,55,0.15107202529907227
2410.0,55,0.15150904655456543
2410.0,55,0.15665984153747559
2410.0,55,0.17168474197387695
2410.0,55,0.15815186500549316
2410.0,55,0.15696167945861816
2410.0,55,0.1588590145111084
3116.0,81,0.24992799758911133
2970.0,65,0.20093894004821777
2410.0,55,0.1556999683380127
1892.0,62,0.17693781852722168
2506.0,62,0.1760871410369873
2881.0,54,0.1667170524597168
2410.0,55,0.15721487998962402
2410.0,55,0.15342402458190918
2410.0,55,0.1524820327758789
2410.0,55,0.15148282051086426
1892.0,62,0.17060303688049316
2445.0,56,0.15326309204101562
2410.0,55,0.15047311782836914
2410.0,55,0.15085077285766602
2410.0,55,0.15013813972473145
2410.0,55,0.14992690086364746
2445.0,56,0.15264582633972168
2410.0,55,0.14995884895324707
2410.0,55,0.15003108978271484
1336.0,41,0.11280202865600586
2410.0,55,0.14999008178710938
2410.0,55,0.1503300666809082
2410.0,55,0.15688300132751465
2572.0,57,0.1576690673828125
1336.0,41,0.11342787742614746
1905.0,56,0.15482234954833984
3843.0,113,0.32400059700012207
2410.0,55,0.1570909023284912
2445.0,56,0.1580977439880371
6643.0,83,0.23279929161071777
4426.0,127,0.3936011791229248
2410.0,55,0.15801310539245605
1316.0,84,0.24267911911010742
3342.0,53,0.15105104446411133
2410.0,55,0.15249204635620117
3320.0,60,0.16637897491455078
1336.0,41,0.14385509490966797
2410.0,55,0.20292997360229492
2410.0,55,0.16727185249328613
2506.0,62,0.17151284217834473
2410.0,55,0.1503889560699463
2410.0,55,0.15031218528747559
5036.0,74,0.22179007530212402
1336.0,41,0.1172630786895752
2410.0,55,0.16630887985229492
3601.0,67,0.19081783294677734
2410.0,55,0.15069890022277832
2410.0,55,0.15085411071777344
2410.0,55,0.15209412574768066
2410.0,55,0.1500258445739746
